imbalance,class_sep,cost_ratio,n_samples,seed,cost_a,cost_b,cost_c,cost_d,brier_standard,brier_cost_weighted,threshold_tuning_helps,cost_weighting_helps,combining_beats_training_alone,best_config
0.005,0.5,10,5000,0,118.0,100.0,101.0,104.0,0.02638618794021499,0.012317543820743597,True,True,False,B
0.005,0.5,10,5000,1,86.0,80.0,80.0,80.0,0.01444415666696441,0.008497250879896208,True,True,False,B
0.005,0.5,10,5000,2,108.0,110.0,100.0,100.0,0.026627950576872603,0.011140109324329238,False,True,False,C
0.005,0.5,10,50000,0,2132.0,897.0,874.0,878.0,0.13159187701619543,0.01438416927295261,True,True,False,C
0.005,0.5,10,50000,1,2335.0,943.0,927.0,905.0,0.1378982777717458,0.014664299685696915,True,True,True,D
0.005,0.5,10,50000,2,2319.0,982.0,981.0,967.0,0.14131096340747099,0.016280354669994973,True,True,True,D
0.005,0.5,100,5000,0,1018.0,1030.0,1010.0,986.0,0.02638618794021499,0.021228932613865298,False,True,True,D
0.005,0.5,100,5000,1,806.0,670.0,805.0,805.0,0.01444415666696441,0.013428670064235508,True,True,False,B
0.005,0.5,100,5000,2,918.0,1126.0,919.0,1055.0,0.026627950576872603,0.027164818930226927,False,False,False,A
0.005,0.5,100,50000,0,7172.0,6959.0,7184.0,7310.0,0.13159187701619543,0.12662922512087413,True,False,False,B
0.005,0.5,100,50000,1,8095.0,8156.0,8030.0,8097.0,0.1378982777717458,0.1300563442938828,False,True,False,C
0.005,0.5,100,50000,2,7089.0,7171.0,7731.0,7539.0,0.14131096340747099,0.14496242292673925,False,False,True,A
0.005,1.5,10,5000,0,108.0,104.0,100.0,105.0,0.017016425923442314,0.010727583457857166,True,True,False,C
0.005,1.5,10,5000,1,48.0,45.0,60.0,62.0,0.009169607786533083,0.005118618149050669,True,False,False,B
0.005,1.5,10,5000,2,90.0,85.0,80.0,90.0,0.019261704743322155,0.009896536279756347,True,True,False,C
0.005,1.5,10,50000,0,1028.0,560.0,570.0,539.0,0.08525516022456378,0.008938884687769743,True,True,True,D
0.005,1.5,10,50000,1,1225.0,729.0,691.0,727.0,0.09681398224550182,0.011595653123467007,True,True,False,C
0.005,1.5,10,50000,2,1085.0,660.0,611.0,599.0,0.08777477587680248,0.009892415225496675,True,True,True,D
0.005,1.5,100,5000,0,1008.0,737.0,1009.0,832.0,0.017016425923442314,0.015602284309015502,True,False,True,B
0.005,1.5,100,5000,1,408.0,405.0,508.0,507.0,0.009169607786533083,0.010124558613057935,True,False,True,B
0.005,1.5,100,5000,2,810.0,684.0,812.0,827.0,0.019261704743322155,0.01935821787323372,True,False,False,B
0.005,1.5,100,50000,0,4988.0,4910.0,5284.0,5201.0,0.08525516022456378,0.07904291775933452,True,False,True,B
0.005,1.5,100,50000,1,6175.0,6141.0,6068.0,6110.0,0.09681398224550182,0.09178544268065723,True,True,False,C
0.005,1.5,100,50000,2,5675.0,5665.0,5670.0,5467.0,0.08777477587680248,0.08986474866711373,True,True,True,D
0.005,3.0,10,5000,0,83.0,80.0,90.0,90.0,0.011705369730232947,0.009018576655145895,True,False,False,B
0.005,3.0,10,5000,1,22.0,60.0,20.0,30.0,0.004173633642481731,0.002453260384286223,False,True,False,C
0.005,3.0,10,5000,2,85.0,83.0,80.0,80.0,0.015905334584105688,0.008860625671582663,True,True,False,C
0.005,3.0,10,50000,0,664.0,484.0,487.0,491.0,0.06755772804901604,0.006780655070008443,True,True,False,B
0.005,3.0,10,50000,1,634.0,520.0,498.0,503.0,0.06816110025171764,0.007045853216080499,True,True,False,C
0.005,3.0,10,50000,2,670.0,541.0,515.0,512.0,0.0685373647326669,0.007680057772293105,True,True,True,D
0.005,3.0,100,5000,0,803.0,876.0,903.0,795.0,0.011705369730232947,0.012291645791561246,False,False,True,D
0.005,3.0,100,5000,1,202.0,246.0,201.0,130.0,0.004173633642481731,0.004264249031235527,False,True,True,D
0.005,3.0,100,5000,2,805.0,776.0,706.0,728.0,0.015905334584105688,0.015517699518691112,True,True,False,C
0.005,3.0,100,50000,0,4804.0,4804.0,4579.0,4706.0,0.06755772804901604,0.06422071975688387,False,True,False,C
0.005,3.0,100,50000,1,5044.0,5020.0,5014.0,4961.0,0.06816110025171764,0.061359375630834,True,True,True,D
0.005,3.0,100,50000,2,5170.0,5401.0,4863.0,5004.0,0.0685373647326669,0.0721558341249522,False,True,False,C
0.02,0.5,10,5000,0,250.0,230.0,222.0,236.0,0.05901828575464347,0.029951615501665443,True,True,False,C
0.02,0.5,10,5000,1,196.0,198.0,202.0,218.0,0.05076181658499725,0.02653625226138665,False,False,False,A
0.02,0.5,10,5000,2,169.0,202.0,183.0,206.0,0.04668696227130194,0.024683499224321535,False,False,False,A
0.02,0.5,10,50000,0,2235.0,1780.0,1836.0,1706.0,0.1253342131547609,0.03886319541750983,True,True,True,D
0.02,0.5,10,50000,1,2391.0,1784.0,1673.0,1649.0,0.13495422879206825,0.03759588256015391,True,True,True,D
0.02,0.5,10,50000,2,2515.0,1785.0,1825.0,1827.0,0.13373143421098124,0.040801392101047454,True,True,False,B
0.02,0.5,100,5000,0,2050.0,1071.0,1990.0,1395.0,0.05901828575464347,0.08206199554483067,True,True,True,B
0.02,0.5,100,5000,1,1636.0,1286.0,1497.0,1084.0,0.05076181658499725,0.0808482556377927,True,True,True,D
0.02,0.5,100,5000,2,1429.0,922.0,1372.0,1041.0,0.04668696227130194,0.06918140837437818,True,True,True,B
0.02,0.5,100,50000,0,9165.0,8287.0,7017.0,7216.0,0.1253342131547609,0.2349191923094188,True,True,False,C
0.02,0.5,100,50000,1,10311.0,8354.0,8756.0,8533.0,0.13495422879206825,0.26035927228042227,True,True,True,B
0.02,0.5,100,50000,2,9445.0,8273.0,7821.0,7960.0,0.13373143421098124,0.2636433537099149,True,True,False,C
0.02,1.5,10,5000,0,131.0,146.0,172.0,130.0,0.025157483340852296,0.017247015521642046,False,False,True,D
0.02,1.5,10,5000,1,108.0,109.0,84.0,84.0,0.022022105044362583,0.011300109416643713,False,True,False,C
0.02,1.5,10,5000,2,98.0,95.0,103.0,66.0,0.015479960607295685,0.010930597119690954,True,False,True,D
0.02,1.5,10,50000,0,624.0,520.0,479.0,508.0,0.04628634192091732,0.012628279459490965,True,True,False,C
0.02,1.5,10,50000,1,1148.0,988.0,807.0,844.0,0.06142225129801108,0.018368901792317628,True,True,False,C
0.02,1.5,10,50000,2,933.0,758.0,746.0,765.0,0.04785143243021079,0.015127322990250783,True,True,False,C
0.02,1.5,100,5000,0,1211.0,685.0,1229.0,949.0,0.025157483340852296,0.03397869637164473,True,False,True,B
0.02,1.5,100,5000,1,918.0,607.0,631.0,759.0,0.022022105044362583,0.029348937761047748,True,True,False,B
0.02,1.5,100,5000,2,908.0,550.0,822.0,557.0,0.015479960607295685,0.024179303032936972,True,True,True,B
0.02,1.5,100,50000,0,3864.0,4176.0,4119.0,4032.0,0.04628634192091732,0.1070329387237989,False,False,True,A
0.02,1.5,100,50000,1,6278.0,5198.0,5487.0,5509.0,0.06142225129801108,0.12426275075788448,True,True,False,B
0.02,1.5,100,50000,2,6603.0,6565.0,6733.0,6670.0,0.04785143243021079,0.11584574437744499,True,False,True,B
0.02,3.0,10,5000,0,104.0,102.0,100.0,91.0,0.011342012319890248,0.009430726589559672,True,True,True,D
0.02,3.0,10,5000,1,30.0,60.0,30.0,60.0,0.0031304237215564264,0.0031339068027173298,False,False,False,A
0.02,3.0,10,5000,2,41.0,44.0,41.0,41.0,0.007727177896255397,0.005176423626102715,False,False,False,A
0.02,3.0,10,50000,0,368.0,354.0,363.0,355.0,0.025867734419441523,0.006214630380011312,True,True,True,B
0.02,3.0,10,50000,1,467.0,446.0,448.0,449.0,0.02092067680933878,0.006636762883374812,True,True,False,B
0.02,3.0,10,50000,2,634.0,656.0,615.0,623.0,0.02937196830159877,0.00887161063585324,False,True,False,C
0.02,3.0,100,5000,0,1004.0,636.0,905.0,565.0,0.011342012319890248,0.013236478432440727,True,True,True,D
0.02,3.0,100,5000,1,300.0,295.0,300.0,336.0,0.0031304237215564264,0.003294428073787407,True,False,False,B
0.02,3.0,100,5000,2,401.0,404.0,403.0,401.0,0.007727177896255397,0.012085069514662945,False,False,True,A
0.02,3.0,100,50000,0,3248.0,3311.0,3555.0,3318.0,0.025867734419441523,0.07634750891280331,False,False,True,A
